Point_Index,StraightPath_Length,GyroPath_Length,GyroPath_Perc,CLR_Alpha,CLR_Gamma
130,272.415124,0.000000,0.000000,0,0
131,272.787463,0.000000,0.000000,0,0
132,273.162955,0.000000,0.000000,0,0
133,272.237029,0.000000,0.000000,0,0
134,271.692841,0.000000,0.000000,0,0
135,270.769274,0.000000,0.000000,0,0
136,269.846253,0.000000,0.000000,0,0
137,268.923781,0.000000,0.000000,0,0
138,268.391505,0.000000,0.000000,0,0
139,267.471494,0.000000,0.000000,0,0
140,266.947560,0.000000,0.000000,0,0
141,266.030073,0.000000,0.000000,0,0
142,265.113183,0.000000,0.000000,0,0
143,264.599698,0.000000,0.000000,0,0
144,263.685419,0.000000,0.000000,0,0
145,263.180546,0.000000,0.000000,0,0
146,262.268946,0.000000,0.000000,0,0
147,261.357992,0.000000,0.000000,0,0
148,260.863949,0.000000,0.000000,0,0
149,259.955765,0.000000,0.000000,0,0
150,259.470615,0.000000,0.000000,0,0
151,258.565272,0.000000,0.000000,0,0
152,257.660630,0.000000,0.000000,0,0
153,257.186703,0.000000,0.000000,0,0
154,256.284998,0.000000,0.000000,0,0
155,255.820249,0.000000,0.000000,0,0
156,254.921557,0.000000,0.000000,0,0
157,254.466108,0.000000,0.000000,0,0
158,253.570503,0.000000,0.000000,0,0
159,253.124475,0.000000,0.000000,0,0
160,252.685575,0.000000,0.000000,0,0
161,252.253840,0.000000,0.000000,0,0
162,252.715255,0.000000,0.000000,0,0
163,252.295462,0.000000,0.000000,0,0
164,252.764713,0.000000,0.000000,0,0
165,252.356890,0.000000,0.000000,0,0
166,252.833938,0.000000,0.000000,0,0
167,252.438111,0.000000,0.000000,0,0
168,252.049598,0.000000,0.000000,0,0
169,251.668433,0.000000,0.000000,0,0
170,250.798724,0.000000,0.000000,0,0
171,249.929990,0.000000,0.000000,0,0
172,249.561616,0.000000,0.000000,0,0
173,248.696602,0.000000,0.000000,0,0
174,247.832605,0.000000,0.000000,0,0
175,246.969634,0.000000,0.000000,0,0
176,246.107700,0.000000,0.000000,0,0
177,245.246814,0.000000,0.000000,0,0
178,244.899980,0.000000,0.000000,0,0
179,244.043029,0.000000,0.000000,0,0
180,243.187171,0.000000,0.000000,0,0
181,242.332416,0.000000,0.000000,0,0
182,242.002066,0.000000,0.000000,0,0
183,241.151405,0.000000,0.000000,0,0
184,240.831892,0.000000,0.000000,0,0
185,241.364869,0.000000,0.000000,0,0
186,241.900806,0.000000,0.000000,0,0
187,242.439683,0.000000,0.000000,0,0
188,242.981481,0.000000,0.000000,0,0
189,243.526179,0.000000,0.000000,0,0
190,243.238566,0.000000,0.000000,0,0
191,243.790894,0.000000,0.000000,0,0
192,243.515913,0.000000,0.000000,0,0
193,243.248844,0.000000,0.000000,0,0
194,242.423184,0.000000,0.000000,0,0
195,241.598841,0.000000,0.000000,0,0
196,241.346224,0.000000,0.000000,0,0
197,240.526506,0.000000,0.000000,0,0
198,240.285247,0.000000,0.000000,0,0
199,239.470249,0.000000,0.000000,0,0
200,238.656657,0.000000,0.000000,0,0
201,237.844487,0.000000,0.000000,0,0
202,237.033753,0.000000,0.000000,0,0
203,236.814273,0.000000,0.000000,0,0
204,236.008474,0.000000,0.000000,0,0
205,235.204167,0.000000,0.000000,0,0
206,234.401365,0.000000,0.000000,0,0
207,233.600086,0.000000,0.000000,0,0
208,232.800344,0.000000,0.000000,0,0
209,232.606965,0.000000,0.000000,0,0
