Point_Index,StraightPath_Length,GyroPath_Length,GyroPath_Perc,CLR_Alpha,CLR_Gamma,Left_CLR_Alpha,Left_CLR_Gamma,Right_CLR_Alpha,Right_CLR_Gamma,DiegoPath_Length,DiegoPath_Perc
53,392.045916,0.000000,0.000000,0,0,0,0,0,0,407.997041,104.068688
54,392.837116,0.000000,0.000000,0,0,0,0,0,0,408.997041,104.113645
55,392.226975,0.000000,0.000000,0,0,0,0,0,0,408.582828,104.169997
56,391.618437,0.000000,0.000000,0,0,0,0,0,0,408.168614,104.226098
57,391.807351,0.000000,0.000000,0,0,0,0,0,0,408.754401,104.325353
58,392.001276,0.000000,0.000000,0,0,0,0,0,0,409.340187,104.423177
59,392.200204,0.000000,0.000000,0,0,0,0,0,0,409.925974,104.519572
60,392.404128,0.000000,0.000000,0,0,0,0,0,0,410.511760,104.614536
61,391.808627,0.000000,0.000000,0,0,0,0,0,0,410.097546,104.667820
62,391.214775,0.000000,0.000000,0,0,0,0,0,0,409.683333,104.720823
63,390.622580,0.000000,0.000000,0,0,0,0,0,0,409.269119,104.773544
64,390.840121,0.000000,0.000000,0,0,0,0,0,0,409.854906,104.865106
65,390.252482,0.000000,0.000000,0,0,0,0,0,0,409.440692,104.916871
66,389.666524,0.000000,0.000000,0,0,0,0,0,0,409.026479,104.968339
67,389.082254,0.000000,0.000000,0,0,0,0,0,0,408.612265,105.019507
68,389.313498,0.000000,0.000000,0,0,0,0,0,0,409.198052,105.107594
69,388.733842,0.000000,0.000000,0,0,0,0,0,0,408.783838,105.157770
70,388.155897,0.000000,0.000000,0,0,0,0,0,0,408.369624,105.207631
71,388.397992,0.000000,0.000000,0,0,0,0,0,0,408.955411,105.292875
72,387.824703,0.000000,0.000000,0,0,0,0,0,0,408.541197,105.341716
73,387.253147,0.000000,0.000000,0,0,0,0,0,0,408.126984,105.390230
74,387.506129,0.000000,0.000000,0,0,0,0,0,0,408.712770,105.472595
75,387.764104,0.000000,0.000000,0,0,0,0,0,0,409.298557,105.553493
76,387.200207,0.000000,0.000000,0,0,0,0,0,0,408.884343,105.600239
77,387.466128,0.000000,0.000000,0,0,0,0,0,0,409.470129,105.678949
78,387.737024,0.000000,0.000000,0,0,0,0,0,0,410.055916,105.756193
79,387.180836,0.000000,0.000000,0,0,0,0,0,0,409.641702,105.801131
