Point_Index,StraightPath_Length,GyroPath_Length,GyroPath_Perc,CLR_Alpha,CLR_Gamma,Left_CLR_Alpha,Left_CLR_Gamma,Right_CLR_Alpha,Right_CLR_Gamma,DiegoPath_Length,DiegoPath_Perc
76,297.860706,595.721411,200.000000,1252,13280,1252,13280,0,0,321.333044,107.880307
77,298.318622,596.637243,200.000000,1308,13276,1308,13276,0,0,321.747258,107.853562
78,297.892598,595.785196,200.000000,1396,13160,1396,13160,0,0,322.333044,108.204449
79,298.357169,596.714337,200.000000,1453,13111,1453,13111,0,0,323.333044,108.371133
80,298.824363,597.648726,200.000000,1513,13106,1513,13106,0,0,324.333044,108.536346
81,299.294170,598.588339,200.000000,1572,13107,1572,13107,0,0,325.333044,108.700094
82,299.766576,599.533152,200.000000,1630,13112,1630,13112,0,0,326.333044,108.862385
83,300.241569,600.483139,200.000000,1691,13092,1691,13092,0,0,327.333044,109.023226
84,300.719138,601.438276,200.000000,1753,13072,1753,13072,0,0,328.333044,109.182624
85,301.199270,602.398539,200.000000,1812,13042,1812,13042,0,0,329.333044,109.340585
86,300.807247,601.614495,200.000000,1910,12964,1910,12964,0,0,329.918831,109.677820
87,301.293876,602.587753,200.000000,1970,12911,1970,12911,0,0,330.918831,109.832578
88,301.783035,603.566069,200.000000,2032,12921,2032,12921,0,0,331.918831,109.985915
89,302.274709,604.549419,200.000000,2097,12906,2097,12906,0,0,332.918831,110.137838
90,301.900646,603.801292,200.000000,2196,12772,2196,12772,0,0,333.504617,110.468335
91,302.398743,604.797487,200.000000,2261,12732,2261,12732,0,0,334.504617,110.617066
92,302.899323,605.798646,200.000000,2326,12723,2326,12723,0,0,335.504617,110.764400
93,303.402373,606.804746,200.000000,2391,12728,2391,12728,0,0,336.504617,110.910345
94,303.907881,607.815762,200.000000,2457,12679,2457,12679,0,0,337.504617,111.054908
95,304.415834,608.831668,200.000000,2524,12702,2524,12702,0,0,338.504617,111.198098
96,304.067427,608.134853,200.000000,2632,12544,2632,12544,0,0,339.090404,111.518161
97,304.581680,609.163361,200.000000,2699,12536,2699,12536,0,0,340.090404,111.658194
98,305.098345,610.196690,200.000000,2767,12513,2767,12513,0,0,341.090404,111.796871
99,305.617408,611.234816,200.000000,2836,12482,2836,12482,0,0,342.090404,111.934201
100,305.286750,610.573501,200.000000,2949,12369,2949,12369,0,0,342.676190,112.247318
101,305.812034,611.624068,200.000000,3013,12373,3013,12373,0,0,343.676190,112.381513
102,306.339681,612.679361,200.000000,3084,12329,3084,12329,0,0,344.676190,112.514379
103,306.869679,613.739358,200.000000,3153,12320,3153,12320,0,0,345.676190,112.645926
104,307.402017,614.804034,200.000000,3225,12286,3225,12286,0,0,346.676190,112.776160
105,307.936682,615.873364,200.000000,3296,12275,3296,12275,0,0,347.676190,112.905091
106,307.631273,615.262546,200.000000,3412,12109,3412,12109,0,0,348.261977,113.207599
107,308.172030,616.344060,200.000000,3484,12092,3484,12092,0,0,349.261977,113.333445
108,308.715079,617.430158,200.000000,3556,12068,3556,12068,0,0,350.261977,113.458007
109,309.260408,618.520816,200.000000,3627,12103,3627,12103,0,0,351.261977,113.581295
110,308.972491,617.944981,200.000000,3749,11933,3749,11933,0,0,351.847763,113.876728
111,309.523828,619.047656,200.000000,3824,11901,3824,11901,0,0,352.847763,113.996963
112,310.077410,620.154819,200.000000,3913,11904,3913,11904,0,0,353.847763,114.115944
113,310.633224,621.266448,200.000000,3971,11865,3971,11865,0,0,354.847763,114.233680
114,311.191260,622.382519,200.000000,4047,11856,4047,11856,0,0,355.847763,114.350179
115,311.751504,623.503007,200.000000,4122,11824,4122,11824,0,0,356.847763,114.465451
116,311.488363,622.976725,200.000000,4247,11714,4247,11714,0,0,357.433550,114.750210
117,312.054482,624.108965,200.000000,4322,11710,4322,11710,0,0,358.433550,114.862490
118,312.622776,625.245552,200.000000,4396,11693,4396,11693,0,0,359.433550,114.973565
119,313.193231,626.386462,200.000000,4474,11643,4474,11643,0,0,360.433550,115.083442
120,312.947280,625.894560,200.000000,4605,11526,4605,11526,0,0,361.019336,115.361072
121,313.523524,627.047048,200.000000,4681,11499,4681,11499,0,0,362.019336,115.467998
122,314.101894,628.203789,200.000000,4758,11450,4758,11450,0,0,363.019336,115.573749
123,314.682380,629.364759,200.000000,4831,11422,4831,11422,0,0,364.019336,115.678335
124,315.264968,630.529936,200.000000,4914,11421,4914,11421,0,0,365.019336,115.781762
125,315.039680,630.079360,200.000000,5047,11284,5047,11284,0,0,365.605122,116.050500
126,315.627946,631.255891,200.000000,5124,11263,5124,11263,0,0,366.605122,116.151034
127,316.218279,632.436558,200.000000,5205,11248,5205,11248,0,0,367.605122,116.250434
128,316.810669,633.621338,200.000000,5280,11207,5280,11207,0,0,368.605122,116.348709
129,316.602274,0.000000,0.000000,0,0,0,0,0,0,369.190909,116.610315
130,317.200252,0.000000,0.000000,0,0,0,0,0,0,370.190909,116.705742
131,317.800252,0.000000,0.000000,0,0,0,0,0,0,371.190909,116.800068
132,318.402261,0.000000,0.000000,0,0,0,0,0,0,372.190909,116.893299
133,319.006270,0.000000,0.000000,0,0,0,0,0,0,373.190909,116.985447
134,319.612265,0.000000,0.000000,0,0,0,0,0,0,374.190909,117.076517
135,319.427613,0.000000,0.000000,0,0,0,0,0,0,374.776695,117.327582
136,320.039060,0.000000,0.000000,0,0,0,0,0,0,375.776695,117.415885
137,320.652460,0.000000,0.000000,0,0,0,0,0,0,376.776695,117.503136
138,321.267801,0.000000,0.000000,0,0,0,0,0,0,377.776695,117.589343
139,321.099673,0.000000,0.000000,0,0,0,0,0,0,378.362482,117.833344
140,321.720375,0.000000,0.000000,0,0,0,0,0,0,379.362482,117.916834
141,322.342985,0.000000,0.000000,0,0,0,0,0,0,380.362482,117.999305
142,322.187833,0.000000,0.000000,0,0,0,0,0,0,380.948268,118.237943
143,322.815737,0.000000,0.000000,0,0,0,0,0,0,381.948268,118.317735
144,323.445513,0.000000,0.000000,0,0,0,0,0,0,382.948268,118.396531
145,324.077151,0.000000,0.000000,0,0,0,0,0,0,383.948268,118.474341
146,324.710640,0.000000,0.000000,0,0,0,0,0,0,384.948268,118.551171
147,324.575107,0.000000,0.000000,0,0,0,0,0,0,385.534055,118.781153
148,325.213776,0.000000,0.000000,0,0,0,0,0,0,386.534055,118.855376
149,325.854262,0.000000,0.000000,0,0,0,0,0,0,387.534055,118.928644
150,325.731485,0.000000,0.000000,0,0,0,0,0,0,388.119841,119.153309
151,326.377083,0.000000,0.000000,0,0,0,0,0,0,389.119841,119.224009
152,327.024464,0.000000,0.000000,0,0,0,0,0,0,390.119841,119.293779
153,327.673618,0.000000,0.000000,0,0,0,0,0,0,391.119841,119.362628
154,326.914362,0.000000,0.000000,0,0,0,0,0,0,390.705627,119.513143
155,326.156404,0.000000,0.000000,0,0,0,0,0,0,390.291414,119.663882
156,325.504224,0.000000,0.000000,0,0,0,0,0,0,389.291414,119.596425
157,324.853813,0.000000,0.000000,0,0,0,0,0,0,388.291414,119.528046
158,324.205182,0.000000,0.000000,0,0,0,0,0,0,387.291414,119.458736
159,323.558341,0.000000,0.000000,0,0,0,0,0,0,386.291414,119.388489
160,322.913301,0.000000,0.000000,0,0,0,0,0,0,385.291414,119.317294
161,322.270073,0.000000,0.000000,0,0,0,0,0,0,384.291414,119.245144
162,321.628668,0.000000,0.000000,0,0,0,0,0,0,383.291414,119.172030
163,320.989096,0.000000,0.000000,0,0,0,0,0,0,382.291414,119.097944
164,320.351370,0.000000,0.000000,0,0,0,0,0,0,381.291414,119.022876
165,319.715499,0.000000,0.000000,0,0,0,0,0,0,380.291414,118.946819
166,319.081494,0.000000,0.000000,0,0,0,0,0,0,379.291414,118.869762
167,318.449368,0.000000,0.000000,0,0,0,0,0,0,378.291414,118.791699
168,317.819131,0.000000,0.000000,0,0,0,0,0,0,377.291414,118.712619
169,317.190794,0.000000,0.000000,0,0,0,0,0,0,376.291414,118.632514
170,316.564369,0.000000,0.000000,0,0,0,0,0,0,375.291414,118.551375
171,315.939868,0.000000,0.000000,0,0,0,0,0,0,374.291414,118.469194
172,315.317301,0.000000,0.000000,0,0,0,0,0,0,373.291414,118.385960
173,314.696679,0.000000,0.000000,0,0,0,0,0,0,372.291414,118.301666
174,314.078016,0.000000,0.000000,0,0,0,0,0,0,371.291414,118.216301
175,313.461321,0.000000,0.000000,0,0,0,0,0,0,370.291414,118.129858
176,312.846608,0.000000,0.000000,0,0,0,0,0,0,369.291414,118.042326
177,312.233887,0.000000,0.000000,0,0,0,0,0,0,368.291414,117.953697
178,311.623170,0.000000,0.000000,0,0,0,0,0,0,367.291414,117.863962
179,311.014469,0.000000,0.000000,0,0,0,0,0,0,366.291414,117.773110
180,309.612661,0.000000,0.000000,0,0,0,0,0,0,364.877200,117.849573
181,309.006472,0.000000,0.000000,0,0,0,0,0,0,363.877200,117.757145
182,308.402335,0.000000,0.000000,0,0,0,0,0,0,362.877200,117.663571
183,307.800260,0.000000,0.000000,0,0,0,0,0,0,361.877200,117.568842
184,307.200260,0.000000,0.000000,0,0,0,0,0,0,360.877200,117.472947
185,306.602348,0.000000,0.000000,0,0,0,0,0,0,359.877200,117.375879
186,306.006536,0.000000,0.000000,0,0,0,0,0,0,358.877200,117.277626
187,305.412835,0.000000,0.000000,0,0,0,0,0,0,357.877200,117.178179
188,304.821259,0.000000,0.000000,0,0,0,0,0,0,356.877200,117.077530
189,304.231820,0.000000,0.000000,0,0,0,0,0,0,355.877200,116.975667
190,303.644529,0.000000,0.000000,0,0,0,0,0,0,354.877200,116.872582
191,303.059400,0.000000,0.000000,0,0,0,0,0,0,353.877200,116.768264
192,302.476445,0.000000,0.000000,0,0,0,0,0,0,352.877200,116.662704
193,301.895677,0.000000,0.000000,0,0,0,0,0,0,351.877200,116.555892
194,301.317109,0.000000,0.000000,0,0,0,0,0,0,350.877200,116.447819
195,300.740752,0.000000,0.000000,0,0,0,0,0,0,349.877200,116.338474
196,300.166620,0.000000,0.000000,0,0,0,0,0,0,348.877200,116.227847
197,299.594726,0.000000,0.000000,0,0,0,0,0,0,347.877200,116.115929
198,299.025083,0.000000,0.000000,0,0,0,0,0,0,346.877200,116.002710
199,298.457702,0.000000,0.000000,0,0,0,0,0,0,345.877200,115.888180
200,297.892598,0.000000,0.000000,0,0,0,0,0,0,344.877200,115.772330
201,297.329783,0.000000,0.000000,0,0,0,0,0,0,343.877200,115.655148
202,296.769271,0.000000,0.000000,0,0,0,0,0,0,342.877200,115.536625
203,296.211073,0.000000,0.000000,0,0,0,0,0,0,341.877200,115.416752
204,295.655205,0.000000,0.000000,0,0,0,0,0,0,340.877200,115.295518
205,295.101677,0.000000,0.000000,0,0,0,0,0,0,339.877200,115.172914
206,294.550505,0.000000,0.000000,0,0,0,0,0,0,338.877200,115.048929
207,294.001701,0.000000,0.000000,0,0,0,0,0,0,337.877200,114.923553
208,293.455278,0.000000,0.000000,0,0,0,0,0,0,336.877200,114.796777
209,292.071909,0.000000,0.000000,0,0,0,0,0,0,335.462987,114.856300
210,291.528729,0.000000,0.000000,0,0,0,0,0,0,334.462987,114.727282
211,290.987972,0.000000,0.000000,0,0,0,0,0,0,333.462987,114.596828
212,290.449651,0.000000,0.000000,0,0,0,0,0,0,332.462987,114.464929
213,289.913780,0.000000,0.000000,0,0,0,0,0,0,331.462987,114.331574
214,289.380373,0.000000,0.000000,0,0,0,0,0,0,330.462987,114.196752
215,288.849442,0.000000,0.000000,0,0,0,0,0,0,329.462987,114.060455
216,288.321002,0.000000,0.000000,0,0,0,0,0,0,328.462987,113.922671
217,286.944245,0.000000,0.000000,0,0,0,0,0,0,327.048773,113.976418
218,286.419273,0.000000,0.000000,0,0,0,0,0,0,326.048773,113.836185
219,285.896835,0.000000,0.000000,0,0,0,0,0,0,325.048773,113.694429
220,285.376944,0.000000,0.000000,0,0,0,0,0,0,324.048773,113.551140
221,284.859615,0.000000,0.000000,0,0,0,0,0,0,323.048773,113.406308
222,284.344861,0.000000,0.000000,0,0,0,0,0,0,322.048773,113.259924
223,283.832697,0.000000,0.000000,0,0,0,0,0,0,321.048773,113.111976
224,283.323137,0.000000,0.000000,0,0,0,0,0,0,320.048773,112.962456
225,282.816195,0.000000,0.000000,0,0,0,0,0,0,319.048773,112.811352
226,282.311884,0.000000,0.000000,0,0,0,0,0,0,318.048773,112.658656
227,280.944834,0.000000,0.000000,0,0,0,0,0,0,316.634560,112.703464
228,280.444290,0.000000,0.000000,0,0,0,0,0,0,315.634560,112.548043
229,279.946423,0.000000,0.000000,0,0,0,0,0,0,314.634560,112.390991
230,279.451248,558.902496,200.000000,2118,10668,2118,10668,0,0,313.634560,112.232299
231,278.958778,0.000000,0.000000,0,0,0,0,0,0,312.634560,112.071956
232,277.596830,0.000000,0.000000,0,0,0,0,0,0,311.220346,112.112356
233,277.108282,0.000000,0.000000,0,0,0,0,0,0,310.220346,111.949143
234,276.622486,0.000000,0.000000,0,0,0,0,0,0,309.220346,111.784241
235,276.139458,552.278915,200.000000,1818,10673,1818,10673,0,0,308.220346,111.617640
236,275.659210,551.318420,200.000000,1753,10721,1753,10721,0,0,307.220346,111.449331
237,275.181758,550.363516,200.000000,1684,10751,1684,10751,0,0,306.220346,111.279304
238,273.826587,547.653175,200.000000,1653,10657,1653,10657,0,0,304.806133,111.313564
239,273.353251,546.706503,200.000000,1588,10640,1588,10640,0,0,303.806133,111.140486
240,272.882759,545.765517,200.000000,1525,10652,1525,10652,0,0,302.806133,110.965652
241,271.530845,543.061691,200.000000,1494,10588,1494,10588,0,0,301.391919,110.997304
242,271.064568,542.129136,200.000000,1431,10585,1431,10585,0,0,300.391919,110.819323
243,270.601183,541.202365,200.000000,1367,10639,1367,10639,0,0,299.391919,110.639546
244,270.140704,540.281408,200.000000,1303,10667,1303,10667,0,0,298.391919,110.457963
245,269.683147,539.366295,200.000000,1241,10661,1241,10661,0,0,297.391919,110.274565
246,268.337474,536.674948,200.000000,1209,10589,1209,10589,0,0,295.977705,110.300548
247,267.884303,535.768607,200.000000,1150,10583,1150,10583,0,0,294.977705,110.113845
248,266.540804,533.081607,200.000000,1115,10516,1115,10516,0,0,293.563492,110.138293
249,266.092089,532.184179,200.000000,1079,10563,1079,10563,0,0,292.563492,109.948211
250,265.646381,531.292763,200.000000,1010,10533,1010,10533,0,0,291.563492,109.756244
251,264.306640,528.613280,200.000000,975,10453,975,10453,0,0,290.149278,109.777521
252,263.865496,527.730992,200.000000,918,10481,918,10481,0,0,289.149278,109.582072
253,262.528094,525.056187,200.000000,888,10391,888,10391,0,0,287.735065,109.601628
254,262.091587,524.183174,200.000000,832,10422,832,10422,0,0,286.735065,109.402621
255,260.756591,521.513183,200.000000,803,10330,803,10330,0,0,285.320851,109.420379
256,260.324797,520.649594,200.000000,747,10353,747,10353,0,0,284.320851,109.217737
257,258.992278,517.984556,200.000000,721,10255,721,10255,0,0,282.906638,109.233619
258,257.660630,515.321259,200.000000,695,10176,695,10176,0,0,281.492424,109.249296
259,256.329866,512.659731,200.000000,667,10088,667,10088,0,0,280.078210,109.264759
260,255.906233,511.812466,200.000000,616,10085,616,10085,0,0,279.078210,109.054870
261,254.578082,509.156165,200.000000,590,9999,590,9999,0,0,277.663997,109.068304
262,253.250864,506.501728,200.000000,565,9907,565,9907,0,0,276.249783,109.081477
263,251.924592,503.849184,200.000000,538,9842,538,9842,0,0,274.835570,109.094379
